species,Longitude,Latitude
Platycodon gradiflorus,117.463749,40.642346
Platycodon gradiflorus,122.054071,39.067777
Platycodon gradiflorus,116.021394,40.358059
Platycodon gradiflorus,117.257015,40.677794
Platycodon gradiflorus,117.349174,40.545967
Platycodon gradiflorus,103.517113,27.170727
Platycodon gradiflorus,116.492833,39.782804
Platycodon gradiflorus,124.097672,44.007972
Platycodon gradiflorus,108.637527,35.06171
Platycodon gradiflorus,121.119417,38.945917
Platycodon gradiflorus,131.697625,46.925415
Platycodon gradiflorus,108.23,27.51
Platycodon gradiflorus,118.57,32.87
Platycodon gradiflorus,113.02,34.42
Platycodon gradiflorus,102.77,28.96
Platycodon gradiflorus,107.54,25.59
Platycodon gradiflorus,110.89,34.51
Platycodon gradiflorus,116.5,30.76
Platycodon gradiflorus,120.17,30.78
Platycodon gradiflorus,115.05,32.13
Platycodon gradiflorus,120.71,49.28
Platycodon gradiflorus,119.38,31.42
Platycodon gradiflorus,115.22,40.08
Platycodon gradiflorus,124.91,42.14
Platycodon gradiflorus,115.42,39.62
Platycodon gradiflorus,116.21,40.02
Platycodon gradiflorus,116.99,36.65
Platycodon gradiflorus,123.41,41.82
Platycodon gradiflorus,118.62,28.73
Platycodon gradiflorus,114.96,29.32
Platycodon gradiflorus,114.06,36.67
Platycodon gradiflorus,114.54,38.16
Platycodon gradiflorus,127,43.12
Platycodon gradiflorus,120.91,37.31
Platycodon gradiflorus,111.62,33.92
Platycodon gradiflorus,110.35,25.17
Platycodon gradiflorus,113.85,36.01
Platycodon gradiflorus,123.79,41.29
Platycodon gradiflorus,124.17,41.19
Platycodon gradiflorus,112.85,35.49
Platycodon gradiflorus,115.24,39.31
Platycodon gradiflorus,119.05,39.62
Platycodon gradiflorus,121.28,38.84
Platycodon gradiflorus,109.17,27.35
Platycodon gradiflorus,110.85,26.43
Platycodon gradiflorus,119.05,25.65
Platycodon gradiflorus,123.95,41.87
Platycodon gradiflorus,122.73,48.01
Platycodon gradiflorus,127.28,42.34
Platycodon gradiflorus,117.88,41.02
Platycodon gradiflorus,115.83,39.71
Platycodon gradiflorus,116.58,40.64
Platycodon gradiflorus,116.15,40.52
Platycodon gradiflorus,118.41,29.13
Platycodon gradiflorus,113.9,38.46
Platycodon gradiflorus,123,39.84
Platycodon gradiflorus,119.37,43.97
Platycodon gradiflorus,112.03,33.96
Platycodon gradiflorus,117.86,31.59
Platycodon gradiflorus,131.87,45.54
Platycodon gradiflorus,112.1,34.49
Platycodon gradiflorus,128.51,42.78
Platycodon gradiflorus,116.95,35.82
Platycodon gradiflorus,109.41,31.05
Platycodon gradiflorus,129.23,43.99
Platycodon gradiflorus,111.22,35.14
Platycodon gradiflorus,117.52,42.09
Platycodon gradiflorus,115.4,31.79
Platycodon gradiflorus,118.7,41.92
Platycodon gradiflorus,126.72,45.97
Platycodon gradiflorus,109.15,29.67
Platycodon gradiflorus,126.46,43.87
Platycodon gradiflorus,111.04,34.05
Platycodon gradiflorus,119.4,41.24
Platycodon gradiflorus,114.51,37.28
Platycodon gradiflorus,117.72,40.44
Platycodon gradiflorus,114.08,32.1
Platycodon gradiflorus,125.66,48.2
Platycodon gradiflorus,118.27,32.08
Platycodon gradiflorus,129.72,46.24
Platycodon gradiflorus,128.91,47.77
Platycodon gradiflorus,114.05,37.95
Platycodon gradiflorus,113.43,38.79
Platycodon gradiflorus,117.28,28.98
Platycodon gradiflorus,125.96,44.18
Platycodon gradiflorus,119.91,28.45
Platycodon gradiflorus,119.36,30.19
Platycodon gradiflorus,117.42,23.67
Platycodon gradiflorus,123.87,39.99
Platycodon gradiflorus,114.545944,22.486065
Platycodon gradiflorus,118.797741,32.055645
Platycodon gradiflorus,125.324789,43.886859
Platycodon gradiflorus,119.823343,31.375019
Platycodon gradiflorus,120.31968,31.526047
Platycodon gradiflorus,119.506767,34.608663
Platycodon gradiflorus,116.919851,30.963672
Platycodon gradiflorus,121.616485,38.914453
Platycodon gradiflorus,120.406916,31.237023
Platycodon gradiflorus,119.432824,34.419177
Platycodon gradiflorus,113.341527,23.127041
Platycodon gradiflorus,102.928677,24.706769
Platycodon gradiflorus,110.599945,26.00537
Platycodon gradiflorus,114.269636,23.376591
Platycodon gradiflorus,107.509707,25.104264
Platycodon gradiflorus,106.33697,26.679722
Platycodon gradiflorus,116.104041,28.965815
Platycodon gradiflorus,115.603724,28.799555
Platycodon gradiflorus,117.480336,49.587665
Platycodon gradiflorus,123.842343,42.286255
Platycodon gradiflorus,115.736085,39.213153
Platycodon gradiflorus,123.026898,41.063191
Platycodon gradiflorus,109.882143,33.532005
Platycodon gradiflorus,116.176482,40.210532
Platycodon gradiflorus,114.630747,39.879848
Platycodon gradiflorus,121.544774,37.269647
Platycodon gradiflorus,108.314391,33.31033
Platycodon gradiflorus,113.280684,35.775686
Platycodon gradiflorus,114.714432,39.364854
Platycodon gradiflorus,104.553645,32.445845
Platycodon gradiflorus,118.141565,30.272939
Platycodon gradiflorus,106.67304,33.15355
Platycodon gradiflorus,120.33334,36.06667
Platycodon gradiflorus,110.050532,25.255089
Platycodon gradiflorus,110.991129,24.095943
Platycodon gradiflorus,110.235565,24.175587
Platycodon gradiflorus,106.633387,24.392902
Platycodon gradiflorus,108.487812,22.758186
Platycodon gradiflorus,109.24368,24.631073
Platycodon gradiflorus,110.462487,23.519195
Platycodon gradiflorus,109.124837,22.320354
Platycodon gradiflorus,110.311897,26.355276
Platycodon gradiflorus,103.398589,29.496119
Platycodon gradiflorus,103.248771,27.696857
Platycodon gradiflorus,108.629497,31.824099
Platycodon gradiflorus,107.545509,33.222857
Platycodon gradiflorus,105.9348,31.732429
Platycodon gradiflorus,110.032936,29.887732
Platycodon gradiflorus,115.399242,30.78311
Platycodon gradiflorus,114.492881,29.604273
Platycodon gradiflorus,114.381419,30.561162
Platycodon gradiflorus,115.944213,30.070477
Platycodon gradiflorus,110.871148,30.222233
Platycodon gradiflorus,113.814207,29.243579
Platycodon gradiflorus,115.417975,29.620186
Platycodon gradiflorus,114.780982,28.385228
Platycodon gradiflorus,114.412629,29.010101
